Date;Raw_industrial;Raw_manufacturing
2020-07;95.45;97.85
2020-06;95.29;98.33
2020-05;74.59;73.85
2020-04;68.37;66.75
2020-03;93.92;91.83
2020-02;101.36;99.74
2020-01;104.51;100.91
2019-12;100.44;97.58
2019-11;104.37;103.53
2019-10;112.78;116.52
2019-09;104.28;108.32
2019-08;78.56;78.49
2019-07;106.53;109.76
2019-06;102.22;105.61
2019-05;103.04;105.19
2019-04;105.23;107.02
2019-03;110.72;110.83
2019-02;103.22;101.66
2019-01;107.95;103.51
2018-12;100.37;97.13
2018-11;109.32;109.41
2018-10;112.55;115.89
2018-09;101.12;104.46
2018-08;82.03;82.36
2018-07;103.61;106.48
2018-06;107.98;112.44
2018-05;96.55;98.39
2018-04;101.09;102.81
2018-03;113.83;112.58
2018-02;102.59;98.56
2018-01;105.06;101.79
2017-12;103.93;99.52
2017-11;111.3;111.11
2017-10;109.96;113.39
2017-09;104.37;108.27
2017-08;80.81;81.35
2017-07;96.94;99.5
2017-06;106.58;111.32
2017-05;100.33;102.7
2017-04;97.21;97.98
2017-03;113.83;114.49
2017-02;99.42;97.08
2017-01;105.71;98.92
2016-12;103.55;99.68
2016-11;105.73;104.81
2016-10;102.15;103.45
2016-09;103.92;107.9
2016-08;79.43;79.68
2016-07;93.81;95.76
2016-06;106.18;110.27
2016-05;96.75;98.55
2016-04;102.49;103.33
2016-03;109.98;108.28
2016-02;102.35;99.57
2016-01;99.89;95.08
2015-12;101.96;99.9
2015-11;102.41;101.86
2015-10;106.55;107.84
2015-09;105.26;109.15
2015-08;76.47;76.05
2015-07;98.98;101.05
2015-06;107.51;111.77
2015-05;90.02;90.92
2015-04;100.87;102.39
2015-03;109.49;108.37
2015-02;100.07;96.1
2015-01;100.4;94.61
2014-12;102.36;98.33
2014-11;96.85;95.56
2014-10;105.01;107.81
2014-09;103.33;107.22
2014-08;72.47;71.39
2014-07;100.53;103.22
2014-06;101.17;104.74
2014-05;91.54;92.3
2014-04;100.83;102.79
2014-03;105.45;104.82
2014-02;99.39;97.03
2014-01;101.16;96.74
2013-12;98.69;94.54
2013-11;101.06;99.04
2013-10;106.78;109.28
2013-09;100.59;103.32
2013-08;74.7;73.38
2013-07;102.72;105.21
2013-06;102.26;105.42
2013-05;95.72;96.16
2013-04;102.87;103.3
2013-03;106.52;103.79
2013-02;99.79;95.65
2013-01;101.71;96.33
2012-12;95.76;91.35
2012-11;103.51;102.11
2012-10;105.91;107.67
2012-09;99.38;102.14
2012-08;78.88;78.59
2012-07;100.97;103.6
2012-06;104.61;108.23
2012-05;94.66;95.76
2012-04;99.58;99.5
2012-03;110.08;110.12
2012-02;104.41;99.6
2012-01;103.66;99.31
2011-12;102.5;99.8
2011-11;105.79;105.84
2011-10;104.24;105.78
2011-09;106.18;109.49
2011-08;79.28;78.66
2011-07;99.03;100.92
2011-06;105.15;108.31
2011-05;106.9;109.9
2011-04;99.66;101.46
2011-03;114.92;115.07
2011-02;103.33;101.53
2011-01;103.84;99.14
2010-12;106.57;102.26
2010-11;103.99;102.6
2010-10;103.87;104.75
2010-09;106.09;108.92
2010-08;75.78;74.63
2010-07;99.3;100.57
2010-06;108.63;111.8
2010-05;94.66;95.27
2010-04;99.53;100.24
2010-03;110.61;109.42
2010-02;96.3;93.11
2010-01;96.0;90.4
2009-12;98.34;94.73
2009-11;99.27;98.8
2009-10;103.09;104.54
2009-09;103.24;106.32
2009-08;70.93;69.49
2009-07;96.23;97.81
2009-06;102.49;105.46
2009-05;87.62;87.92
2009-04;93.6;93.91
2009-03;101.71;100.09
2009-02;93.42;90.05
2009-01;96.22;90.51
2008-12;101.48;98.33
2008-11;100.59;99.19
2008-10;116.12;118.72
2008-09;115.16;118.78
2008-08;79.75;78.46
2008-07;112.6;115.21
2008-06;117.44;121.31
2008-05;105.78;107.7
2008-04;118.37;120.46
2008-03;117.49;117.76
2008-02;114.72;114.75
2008-01;114.74;113.41
2007-12;108.75;106.63
2007-11;117.13;117.99
2007-10;123.94;127.11
2007-09;113.8;117.27
2007-08;87.7;87.21
2007-07;113.69;116.71
2007-06;122.09;126.73
2007-05;109.07;111.83
2007-04;109.11;111.82
2007-03;122.85;124.06
2007-02;109.63;109.74
2007-01;112.79;111.59
2006-12;110.14;107.94
2006-11;115.67;116.54
2006-10;118.11;121.66
2006-09;116.76;121.19
2006-08;84.8;83.88
2006-07;106.5;108.86
2006-06;121.59;126.75
2006-05;110.59;113.26
2006-04;107.33;108.24
2006-03;123.97;125.1
2006-02;107.5;106.28
2006-01;112.41;109.12
2005-12;113.87;111.39
2005-11;115.51;115.62
2005-10;112.57;115.15
2005-09;118.43;122.98
2005-08;83.26;81.98
2005-07;104.55;106.59
2005-06;120.27;124.93
2005-05;107.86;109.81
2005-04;111.78;113.79
2005-03;118.53;118.93
2005-02;108.2;106.63
2005-01;110.78;107.97
2004-12;114.81;112.62
2004-11;112.8;112.33
2004-10;116.54;118.9
2004-09;117.81;122.18
2004-08;81.0;79.91
2004-07;108.84;111.55
2004-06;121.55;126.61
2004-05;103.49;104.83
2004-04;111.41;113.04
2004-03;122.35;123.09
2004-02;108.3;107.15
2004-01;108.33;105.03
2003-12;111.28;109.12
2003-11;108.62;108.12
2003-10;120.21;122.77
2003-09;113.62;117.97
2003-08;77.54;76.39
2003-07;109.21;112.04
2003-06;111.61;115.55
2003-05;100.3;101.94
2003-04;110.62;112.58
2003-03;116.44;117.57
2003-02;107.79;105.84
2003-01;110.9;107.51
2002-12;107.79;105.82
2002-11;111.06;111.49
2002-10;119.12;122.35
2002-09;112.2;116.21
2002-08;81.89;81.66
2002-07;110.88;114.3
2002-06;115.21;119.77
2002-05;104.06;105.88
2002-04;111.73;113.9
2002-03;117.85;119.34
2002-02;107.09;107.41
2002-01;111.35;109.12
2001-12;107.88;105.37
2001-11;114.49;114.65
2001-10;120.14;124.05
2001-09;111.24;114.81
2001-08;85.4;85.62
2001-07;109.57;112.84
2001-06;117.38;122.41
2001-05;107.29;110.13
2001-04;108.27;109.81
2001-03;122.48;124.89
2001-02;109.11;109.73
2001-01;112.65;111.49
2000-12;111.59;111.77
2000-11;116.19;117.58
2000-10;118.37;121.82
2000-09;112.32;116.67
2000-08;82.94;82.97
2000-07;105.72;108.86
2000-06;114.92;119.86
2000-05;110.11;113.7
2000-04;105.01;106.37
2000-03;120.09;122.17
2000-02;107.84;108.14
2000-01;106.03;104.06
1999-12;114.44;114.25
1999-11;110.94;111.56
1999-10;112.68;115.7
1999-09;111.19;115.75
1999-08;76.98;76.59
1999-07;103.29;106.35
1999-06;115.31;120.88
1999-05;97.84;100.48
1999-04;103.77;105.52
1999-03;113.47;115.29
1999-02;99.8;98.98
1999-01;99.68;97.86
1998-12;108.69;107.94
1998-11;106.19;106.21
1998-10;110.39;113.28
1998-09;107.52;112.25
1998-08;72.84;72.68
1998-07;103.09;106.75
1998-06;110.43;115.46
1998-05;95.99;98.21
1998-04;102.93;104.42
1998-03;108.84;110.07
1998-02;99.31;99.31
1998-01;100.72;98.83
1997-12;106.87;106.81
1997-11;99.75;100.17
1997-10;111.66;114.84
1997-09;104.01;107.94
1997-08;71.9;71.06
1997-07;98.43;101.11
1997-06;104.52;108.76
1997-05;92.09;93.77
1997-04;101.59;103.42
1997-03;98.62;99.8
1997-02;92.63;92.03
1997-01;96.3;92.73
1996-12;98.88;96.67
1996-11;96.33;95.69
1996-10;103.62;105.68
1996-09;96.81;99.5
1996-08;67.97;66.82
1996-07;94.51;96.66
1996-06;98.96;102.39
1996-05;90.08;91.0
1996-04;94.08;94.86
1996-03;99.43;98.79
1996-02;94.1;91.73
1996-01;95.19;92.59
1995-12;96.59;94.99
1995-11;97.71;97.77
1995-10;99.44;102.1
1995-09;96.47;99.4
1995-08;68.74;67.48
1995-07;89.65;91.27
1995-06;100.72;104.38
1995-05;90.82;92.33
1995-04;90.68;91.07
1995-03;103.52;103.6
1995-02;90.84;90.77
1995-01;95.46;92.62
1994-12;99.23;98.62
1994-11;96.48;97.57
1994-10;97.05;98.75
1994-09;95.98;98.98
1994-08;67.06;66.09
1994-07;86.44;87.9
1994-06;99.58;103.64
1994-05;87.25;88.91
1994-04;89.19;88.93
1994-03;96.88;97.72
1994-02;85.94;84.3
1994-01;87.36;84.17
1993-12;94.0;92.4
1993-11;90.67;88.85
1993-10;92.69;93.56
1993-09;91.78;94.4
1993-08;62.81;61.68
1993-07;84.48;86.04
1993-06;94.84;98.48
1993-05;81.69;82.84
1993-04;88.15;88.98
1993-03;96.36;96.34
1993-02;86.46;84.67
1993-01;85.64;83.01
1992-12;94.15;93.12
1992-11;92.3;92.6
1992-10;97.84;99.22
1992-09;93.92;97.42
1992-08;63.94;63.22
1992-07;88.68;91.13
1992-06;97.6;102.08
1992-05;84.89;86.82
1992-04;93.15;94.43
1992-03;99.29;100.33
1992-02;90.66;89.84
1992-01;94.15;91.53
1991-12;94.64;93.0
1991-11;94.63;94.81
1991-10;101.55;104.29
1991-09;93.69;97.67
1991-08;65.04;64.87
1991-07;91.02;94.11
1991-06;96.69;101.22
1991-05;86.85;88.29
1991-04;92.7;94.53
1991-03;96.41;98.37
1991-02;91.16;90.03
1991-01;94.64;93.26
1990-12;91.54;89.9
1990-11;96.23;97.5
1990-10;101.73;105.89
1990-09;92.41;96.6
1990-08;66.63;67.25
1990-07;89.89;93.67
1990-06;96.5;101.65
1990-05;90.12;94.09
1990-04;91.7;93.8
1990-03;99.7;103.02
1990-02;90.64;93.08
1990-01;93.1;92.92
